| No   | Est | Matri  | Apellido Paterno | Apellido Materno | Nombre              | Ed  | Sex |        CURP        |
|    0 | MS  | 318917 | ROSAS            | FERNANDEZ        | VICENTE             |  72 |  H  | ROFV510922HMSSRC54 |
|    1 | VZ  | 320791 | MORALES          | MARTINEZ         | IRENE JUDITH        | 106 |  M  | MOMI171015MVZRRR15 |
|    2 | YN  | 309834 | ALVAREZ          | X                | RAMIRO              |  80 |  H  | AAXR430519HYNLXM44 |
|    3 | MN  | 303161 | FERNANDEZ        | LEON             | CRISTINA            |  97 |  M  | FELC260529MMNRNR24 |
|    4 | CS  | 303913 | ORTIZ            | NAVARRO          | CLAUDIA             |  47 |  M  | OINC760615MCSRVL77 |
|    5 | AS  | 328354 | VEGA             | PEREZ            | HILDA               | 114 |  M  | VEPH090722MASGRL04 |
|    6 | MN  | 314569 | MENDOZA          | IBARRA           | JULIO               |  21 |  H  | MEIJ021010HMNNBLA7 |
|    7 | VZ  | 313011 | RIOS             | DIAZ             | ALVARO              |   8 |  H  | RIDA150210HVZSZLB2 |
|    8 | TC  | 305279 | MALDONADO        | ROJAS            | LEONARDO            |  85 |  H  | MARL380128HTCLJN30 |
|    9 | BC  | 321457 | GARCIA           | RIVERA           | ROSA                |  80 |  M  | GARR430529MBCRVS45 |
|   10 | TL  | 306128 | DE LA CRUZ       | SANCHEZ          | ISABEL              |  58 |  M  | CUSI650825MTLRNS69 |
|   11 | TS  | 313665 | FERNANDEZ        | CAMACHO          | ABEL                |  54 |  H  | FECA690218HTSRMB68 |
|   12 | GT  | 319077 | MARQUEZ          | MEZA             | ALONSO              |  60 |  H  | MAMA630228HGTRZL63 |
|   13 | JC  | 323314 | CRUZ             | SALGADO          | NORMA               |  41 |  M  | CUSN820422MJCRLR85 |
|   14 | HG  | 301454 | CARRILLO         | FUENTES          | BEATRIZ             |  35 |  M  | CAFB880223MHGRNT88 |
|   15 | TC  | 312241 | RIVERA           | ROSALES          | ABEL                |  27 |  H  | RIRA960402HTCVSB97 |
|   16 | MX  | 317372 | ACOSTA           | GUTIERREZ        | RODOLFO             |  84 |  H  | AOGR381228HMXCTD36 |
|   17 | TL  | 323924 | MENDOZA          | VAZQUEZ          | ADRIANA VERONICA    |  82 |  M  | MEVA410604MTLNZD46 |
|   18 | CH  | 316754 | SOSA             | HERRERA          | LORENA ALEJANDRA    |  58 |  M  | SOHL651003MCHSRR65 |
