| Matricula | Apellido Paterno | Apellido Materno | Nombre              | Edad |  Sexo     |
|    310442 | SOTO             | PEREZ            | MARIA               |   33 | FEMENINO  |
|    312191 | CONTRERAS        | PEREZ            | LUNA                |   33 | FEMENINO  |
|    314712 | CONTRERAS        | NUNEZ            | ROSA                |   28 | FEMENINO  |
|    327078 | YEPIZ            | SOTO             | CRISTINA            |   35 | FEMENINO  |
|    308622 | NUNEZ            | ACOSTA           | REYNA               |   22 | FEMENINO  |
|    329090 | SOTO             | CONTRERAS        | MARIA               |   24 | FEMENINO  |
|    319280 | PEREZ            | SOTO             | JOFREY              |   37 | MASCULINO |
|    321612 | TORRES           | NUNEZ            | JOFREY              |   20 | MASCULINO |
|    320482 | LOPEZ            | PEREZ            | KAKAROTO            |   47 | MASCULINO |
|    305964 | MORALES          | MORALES          | MARIA               |   34 | FEMENINO  |
|    300383 | GARCIA           | SOTO             | JOFREY              |   44 | MASCULINO |
|    300425 | LOPEZ            | CONTRERAS        | PEDRO               |   26 | MASCULINO |
|    300429 | ACOSTA           | TORRES           | KASSANDRA           |   20 | FEMENINO  |
|    300518 | LOPEZ            | YEPIZ            | ROSA                |   54 | FEMENINO  |
|    300587 | TORRES           | MORALES          | CRISTINA            |   43 | FEMENINO  |
|    300620 | TORRES           | ACOSTA           | ROSA                |   37 | FEMENINO  |
|    300676 | NUNEZ            | LOPEZ            | REYNA               |   18 | FEMENINO  |
|    300785 | TORRES           | LOPEZ            | LUPITA              |   21 | FEMENINO  |
|    300809 | TORRES           | GARCIA           | VEGUETA             |   43 | MASCULINO |
|    300811 | ACOSTA           | ACOSTA           | CRISTINA            |   36 | FEMENINO  |
|    300834 | CONTRERAS        | LOPEZ            | GOHAN               |   28 | MASCULINO |
|    300856 | ACOSTA           | TORRES           | KASSANDRA           |   52 | FEMENINO  |
|    300858 | NUNEZ            | NUNEZ            | PANFILA             |   53 | FEMENINO  |
|    300941 | MORALES          | ACOSTA           | JOFREY              |   50 | MASCULINO |
|    301131 | CONTRERAS        | GARCIA           | PEDRO               |   24 | MASCULINO |
|    301145 | PEREZ            | NUNEZ            | MARIA               |   33 | FEMENINO  |
|    301164 | MORALES          | LOPEZ            | KASSANDRA           |   33 | FEMENINO  |
|    301185 | PEREZ            | YEPIZ            | BRENDA              |   18 | FEMENINO  |
|    301258 | LOPEZ            | TORRES           | KASSANDRA           |   48 | FEMENINO  |
|    301423 | TORRES           | MORALES          | KASSANDRA           |   37 | FEMENINO  |
|    301430 | TORRES           | CONTRERAS        | PEDRO               |   30 | MASCULINO |
|    301469 | NUNEZ            | TORRES           | LUNA                |   33 | FEMENINO  |
|    301877 | ACOSTA           | CONTRERAS        | ROSA                |   49 | FEMENINO  |
|    302053 | TORRES           | ACOSTA           | GOKU                |   28 | MASCULINO |
|    302187 | NUNEZ            | ACOSTA           | GOTEM               |   38 | MASCULINO |
|    302269 | TORRES           | MORALES          | ROSA                |   28 | FEMENINO  |
|    302376 | SOTO             | LOPEZ            | GOHAN               |   25 | MASCULINO |
|    302505 | MORALES          | CONTRERAS        | ROSA                |   15 | FEMENINO  |
|    302522 | SOTO             | CONTRERAS        | KAKAROTO            |   40 | MASCULINO |
|    302532 | LOPEZ            | LOPEZ            | GOKU                |   15 | MASCULINO |
|    302724 | LOPEZ            | GARCIA           | PANFILA             |   47 | FEMENINO  |
|    302898 | YEPIZ            | PEREZ            | REYNA               |   43 | FEMENINO  |
|    303024 | YEPIZ            | SOTO             | BRENDA              |   16 | FEMENINO  |
|    303036 | YEPIZ            | SOTO             | LUNA                |   33 | FEMENINO  |
|    303157 | CONTRERAS        | GARCIA           | KAKAROTO            |   29 | MASCULINO |
|    303171 | SOTO             | CONTRERAS        | JONH                |   18 | MASCULINO |
|    303176 | MORALES          | TORRES           | EDRAD               |   19 | MASCULINO |
|    303448 | PEREZ            | SOTO             | PEDRO               |   34 | MASCULINO |
|    303450 | LOPEZ            | NUNEZ            | VEGUETA             |   18 | MASCULINO |
|    303532 | CONTRERAS        | CONTRERAS        | EDRAD               |   33 | MASCULINO |
|    303559 | PEREZ            | NUNEZ            | GOKU                |   23 | MASCULINO |
|    303561 | CONTRERAS        | LOPEZ            | LUPITA              |   54 | FEMENINO  |
|    303704 | NUNEZ            | ACOSTA           | MASIOSARE           |   52 | MASCULINO |
|    303792 | CONTRERAS        | YEPIZ            | ALICIA              |   33 | FEMENINO  |
|    303880 | GARCIA           | TORRES           | KAKAROTO            |   26 | MASCULINO |
|    303985 | SOTO             | NUNEZ            | VEGUETA             |   36 | MASCULINO |
|    304133 | YEPIZ            | YEPIZ            | GOTEM               |   30 | MASCULINO |
|    304292 | GARCIA           | NUNEZ            | LUPITA              |   51 | FEMENINO  |
|    304385 | SOTO             | GARCIA           | VEGUETA             |   29 | MASCULINO |
|    304504 | ACOSTA           | PEREZ            | ALICIA              |   28 | FEMENINO  |
|    304532 | TORRES           | GARCIA           | MARIA               |   24 | FEMENINO  |
|    304642 | SOTO             | SOTO             | REYNA               |   17 | FEMENINO  |
|    304721 | MORALES          | YEPIZ            | MARIA               |   44 | FEMENINO  |
|    304740 | PEREZ            | YEPIZ            | JONH                |   51 | MASCULINO |
|    305102 | ACOSTA           | CONTRERAS        | MASIOSARE           |   36 | MASCULINO |
|    305320 | YEPIZ            | NUNEZ            | GOTEM               |   32 | MASCULINO |
|    305495 | ACOSTA           | PEREZ            | LUNA                |   26 | FEMENINO  |
|    305507 | YEPIZ            | LOPEZ            | ALICIA              |   43 | FEMENINO  |
|    305550 | PEREZ            | TORRES           | MASIOSARE           |   26 | MASCULINO |
