| NO   | NO EMP | PUESTO                 | APELLIDO PATERNO | APELLIDO MATERNO  | NOMBRE               | TELEFONO   | EDAD | SEXO       | ESTADO |
| 1    | 331399 | RepVInt                | IGLESIAS         | ARIAS             | ALEJANDRO            | 6461010412 | 33   | HOMBRE     | BC |
| 2    | 328162 | GteProj                | CASTILLO         | LEON              | ALBERTO              | 6461004600 | 43   | HOMBRE     | OC |
| 3    | 321166 | DisUX                  | MERCADO          | MALDONADO         | MIGUEL               | 6461032541 | 46   | HOMBRE     | CH |
| 4    | 320571 | MedGen                 | GARZA            | CRUZ              | CLARA                | 6461025025 | 27   | MUJER      | CL |
| 5    | 308286 | ProfPrim               | VASQUEZ          | GUERRERO          | CONSUELO             | 6461008058 | 44   | MUJER      | ZS |
| 6    | 314627 | InvCien                | MENDOZA          | SANDOVAL          | MARiA                | 6461002320 | 50   | MUJER      | BC |
| 7    | 306801 | DevSoft                | TOVAR            | PENA              | RAUL                 | 6461015627 | 31   | HOMBRE     | NT |
| 8    | 322504 | Traduct                | ROJAS            | ROJAS             | ALEJANDRO            | 6461022724 | 21   | HOMBRE     | DG |
| 9    | 329950 | TrabSoc                | TORRES           | ROMAN             | JOSE                 | 6461032126 | 42   | HOMBRE     | YN |
| 10   | 310655 | EspRRHH                | GARZA            | FLORES            | PILAR                | 6461023008 | 23   | MUJER      | NL |
| 11   | 310480 | DevSoft                | DURAN            | VILLANUEVA        | JORGE                | 6461029226 | 45   | HOMBRE     | VZ |
| 12   | 319891 | Contado                | GUZMAN           | RUBIO             | MARTA                | 6461000514 | 25   | MUJER      | QT |
| 13   | 331486 | EspLog                 | LARA             | SUAREZ            | JAVIER               | 6461015956 | 28   | HOMBRE     | MS |
| 14   | 332448 | DisGraf                | CAMACHO          | MACIEL            | SUSANA               | 6461006144 | 49   | MUJER      | CS |
| 15   | 314814 | AnlSist                | CASTANEDA        | SOLANO            | SUSANA               | 6461019386 | 34   | MUJER      | JC |
| 16   | 322393 | DisUX                  | PACHECO          | CASILLAS          | LAURA                | 6461017857 | 39   | MUJER      | AG |
| 17   | 301488 | DisUX                  | ESPINOSA         | CASTANEDA         | JOSE                 | 6461021234 | 38   | HOMBRE     | CS |
| 18   | 314993 | Enferm                 | AGUILAR          | ESPINOSA          | MANUEL               | 6461028615 | 30   | HOMBRE     | BS |
| 19   | 327953 | AnlVent                | LEON             | ROLDAN            | SALVADOR             | 6461021347 | 22   | HOMBRE     | JC |
| 20   | 309371 | AsServ                 | ALVAREZ          | HERRERA           | ROSA                 | 6461028688 | 20   | MUJER      | YN |
| 21   | 308765 | AnlDatos               | AGUILAR          | GONZALES          | SALVADOR             | 6461028378 | 30   | HOMBRE     | MC |
| 22   | 328983 | EspRRHH                | TORRES           | VEGA              | VICTORIA             | 6461004399 | 35   | MUJER      | MC |
| 23   | 320227 | IngRed                 | CAMACHO          | ARIAS             | ISRAEL               | 6461001804 | 41   | HOMBRE     | CS |
| 24   | 316658 | AnMktDg                | PARDO            | ESTRELLA          | SALVADOR             | 6461028620 | 35   | HOMBRE     | NE |
| 25   | 326642 | Traduct                | IGLESIAS         | GOMEZ             | EDUARDO              | 6461001933 | 44   | HOMBRE     | MC |
| 26   | 317533 | AsServ                 | LOPEZ            | MACIAS            | MARiA                | 6461003063 | 49   | MUJER      | HG |
| 27   | 309080 | Traduct                | IGLESIAS         | MORA              | SUSANA               | 6461001264 | 39   | MUJER      | NE |
